,Unnamed: 0,Path ID_,Latitude_Destination,Latitude_Origin,Longitude_Destination,Longitude_Origin,address,destination_address
0,0,TX-01_TX-02,40.77,40.7,-73.87,-74.01,"Battery Maritime Building, 10, South Street, Manhattan Community Board 1, Manhattan, New York County, City of New York, New York, 10004, United States","Aloft New York LaGuardia Airport, 100-15, Ditmars Boulevard, North Beach, Queens, City of New York, New York, 11369, United States"
1,1,TX-02_TX-01,40.71,40.77,-74.02,-73.87,"Aloft New York LaGuardia Airport, 100-15, Ditmars Boulevard, North Beach, Queens, City of New York, New York, 11369, United States","Battery Park City Greenway, Battery Park City, Manhattan, New York County, City of New York, New York, 10280, United States"
2,2,TX-02_TX-03,40.77,40.72,-73.86,-74.01,"68, North Moore Street, Tribeca, Manhattan, New York County, City of New York, New York, 10013, United States","D5B, Terminal D Post-Security, Queens, City of New York, New York, 11369, United States"
3,3,TX-02_TX-04,40.77,40.74,-73.86,-74.01,"Hudson River Park Esplanade, Meatpacking District, New York County, City of New York, New York, 100014, United States","D5B, Terminal D Post-Security, Queens, City of New York, New York, 11369, United States"
4,4,TX-03_TX-02,40.72,40.77,-74.02,-73.87,"Aloft New York LaGuardia Airport, 100-15, Ditmars Boulevard, North Beach, Queens, City of New York, New York, 11369, United States","Battery Park City Greenway, Battery Park City, Manhattan, New York County, City of New York, New York, 10285, United States"
5,5,TX-04_TX-02,40.77,40.71,-73.86,-74.01,"175, Broadway, Financial District, Manhattan, New York County, City of New York, New York, 10007, United States","D5B, Terminal D Post-Security, Queens, City of New York, New York, 11369, United States"
6,6,TX-04_TX-05,40.71,40.77,-74.02,-73.86,"D5B, Terminal D Post-Security, Queens, City of New York, New York, 11369, United States","Battery Park City Greenway, Battery Park City, Manhattan, New York County, City of New York, New York, 10280, United States"
7,7,TX-05_TX-08,40.77,40.7,-73.86,-74.01,"Battery Maritime Building, 10, South Street, Manhattan Community Board 1, Manhattan, New York County, City of New York, New York, 10004, United States","D5B, Terminal D Post-Security, Queens, City of New York, New York, 11369, United States"
8,8,TX-06_TX-04,40.77,40.71,-73.87,-74.02,"Battery Park City Greenway, Battery Park City, Manhattan, New York County, City of New York, New York, 10280, United States","Aloft New York LaGuardia Airport, 100-15, Ditmars Boulevard, North Beach, Queens, City of New York, New York, 11369, United States"
9,9,TX-07_TX01,40.77,40.71,-73.86,-74.02,"Battery Park City Greenway, Battery Park City, Manhattan, New York County, City of New York, New York, 10280, United States","D5B, Terminal D Post-Security, Queens, City of New York, New York, 11369, United States"
