,Path ID_,Latitude_Destination,Latitude_Origin,Longitude_Destination,Longitude_Origin,origin_address,destination_address
0,TX-01_TX-02,40.77,40.77,-73.86,-73.86,"D5B, Terminal D Post-Security, Queens, City of New York, New York, 11369, United States","D5B, Terminal D Post-Security, Queens, City of New York, New York, 11369, United States"
1,TX-03_TX-04,40.82,40.82,-73.96,-73.96,"West Harlem Piers Park Bike Path, Manhattan Community Board 9, Manhattan, New York County, City of New York, New York, 10115, United States","West Harlem Piers Park Bike Path, Manhattan Community Board 9, Manhattan, New York County, City of New York, New York, 10115, United States"
2,TX-05_TX-06,40.68,40.68,-74.0,-74.0,"38, 2nd Place, Brooklyn, Kings County, City of New York, New York, 11231, United States","38, 2nd Place, Brooklyn, Kings County, City of New York, New York, 11231, United States"
3,TX-07_TX-08,40.75,40.75,-73.94,-73.94,"42-10 27th Street, 27th Street, Court Square, Queens, City of New York, New York, 11101, United States","42-10 27th Street, 27th Street, Court Square, Queens, City of New York, New York, 11101, United States"
4,TX-09_TX-10,40.71,40.71,-73.95,-73.95,"20, Maujer Street, Brooklyn, Kings County, City of New York, New York, 11206, United States","20, Maujer Street, Brooklyn, Kings County, City of New York, New York, 11206, United States"
5,TX-11_TX-12,40.73,40.74,-73.95,-73.99,"10, East 21st Street, Manhattan Community Board 5, New York County, City of New York, New York, 10010, United States","226, Newel Street, Brooklyn, Kings County, City of New York, New York, 11222, United States"
6,TX-13_TX-14,40.7,40.7,-73.99,-73.99,"Citi Bike - Cadman Plaza East & Red Cross Place, Cadman Plaza East, Brooklyn, Kings County, City of New York, New York, 11201, United States","Citi Bike - Cadman Plaza East & Red Cross Place, Cadman Plaza East, Brooklyn, Kings County, City of New York, New York, 11201, United States"
7,TX-15_TX-16,40.72,40.72,-73.98,-73.98,"New Explorations into Science Technology and Math High School, 111, Columbia Street, Manhattan Community Board 3, Manhattan, New York County, City of New York, New York, 10002, United States","New Explorations into Science Technology and Math High School, 111, Columbia Street, Manhattan Community Board 3, Manhattan, New York County, City of New York, New York, 10002, United States"
8,TX-17_TX-18,40.7,40.7,-74.01,-74.01,"Battery Maritime Building, 10, South Street, Manhattan Community Board 1, Manhattan, New York County, City of New York, New York, 10004, United States","Battery Maritime Building, 10, South Street, Manhattan Community Board 1, Manhattan, New York County, City of New York, New York, 10004, United States"
9,TX-19_TX-20,40.81,40.81,-73.95,-73.95,"Apollo Theater, 253, West 125th Street, Manhattan Community Board 10, Harlem, New York County, City of New York, New York, 10027, United States","Apollo Theater, 253, West 125th Street, Manhattan Community Board 10, Harlem, New York County, City of New York, New York, 10027, United States"
