,Path ID_,Latitude_Destination,Latitude_Origin,Longitude_Destination,Longitude_Origin,origin_address,destination_address
0,TX-01_TX-02,40.76,40.75,-73.98,-73.99,"137, West 33rd Street, Manhattan Community Board 5, New York County, City of New York, New York, 10001, United States","Rockefeller Center, 45, Rockefeller Plaza, Midtown, Manhattan Community Board 5, New York County, City of New York, New York, 10111, United States"
1,TX-01_TX-04,40.76,40.75,-73.97,-73.99,"137, West 33rd Street, Manhattan Community Board 5, New York County, City of New York, New York, 10001, United States","664, Lexington Avenue, Manhattan Community Board 6, Manhattan Community Board 5, New York County, City of New York, New York, 10022, United States"
2,TX-01_TX-06,40.75,40.75,-73.98,-73.99,"137, West 33rd Street, Manhattan Community Board 5, New York County, City of New York, New York, 10001, United States","35, East 38th Street, Murray Hill, Manhattan, New York County, City of New York, New York, 10016, United States"
3,TX-02_TX-01,40.75,40.76,-73.99,-73.98,"Rockefeller Center, 45, Rockefeller Plaza, Midtown, Manhattan Community Board 5, New York County, City of New York, New York, 10111, United States","137, West 33rd Street, Manhattan Community Board 5, New York County, City of New York, New York, 10001, United States"
4,TX-03_TX-02,40.76,40.77,-73.98,-73.87,"Aloft New York LaGuardia Airport, 100-15, Ditmars Boulevard, North Beach, Queens, City of New York, New York, 11369, United States","Rockefeller Center, 45, Rockefeller Plaza, Midtown, Manhattan Community Board 5, New York County, City of New York, New York, 10111, United States"
5,TX-04_TX-01,40.75,40.76,-73.99,-73.97,"664, Lexington Avenue, Manhattan Community Board 6, Manhattan Community Board 5, New York County, City of New York, New York, 10022, United States","137, West 33rd Street, Manhattan Community Board 5, New York County, City of New York, New York, 10001, United States"
6,TX-04_TX-05,40.77,40.76,-73.96,-73.97,"664, Lexington Avenue, Manhattan Community Board 6, Manhattan Community Board 5, New York County, City of New York, New York, 10022, United States","Dallas BBQ, 1265, 3rd Avenue, Manhattan Community Board 8, Lenox Hill, New York County, City of New York, New York, 10021, United States"
7,TX-04_TX-06,40.75,40.76,-73.98,-73.97,"664, Lexington Avenue, Manhattan Community Board 6, Manhattan Community Board 5, New York County, City of New York, New York, 10022, United States","35, East 38th Street, Murray Hill, Manhattan, New York County, City of New York, New York, 10016, United States"
8,TX-05_TX-04,40.76,40.77,-73.97,-73.96,"Dallas BBQ, 1265, 3rd Avenue, Manhattan Community Board 8, Lenox Hill, New York County, City of New York, New York, 10021, United States","664, Lexington Avenue, Manhattan Community Board 6, Manhattan Community Board 5, New York County, City of New York, New York, 10022, United States"
9,TX-06_TX-04,40.76,40.75,-73.97,-73.98,"35, East 38th Street, Murray Hill, Manhattan, New York County, City of New York, New York, 10016, United States","664, Lexington Avenue, Manhattan Community Board 6, Manhattan Community Board 5, New York County, City of New York, New York, 10022, United States"
